suburb,category,name,lat,lon
Ivanhoe,supermarket,Woolworths,-37.7701721,145.0416219
Ivanhoe,cafe,The Cornerstore,-37.771939,145.0456399
Ivanhoe,cafe,Docasa,-37.7716644,145.0465519
Ivanhoe,cafe,The Foreigner,-37.7664626,145.0445918
Ivanhoe,cafe,Lip Cafe,-37.7593628,145.0443093
Ivanhoe,cafe,Unnamed cafe,-37.7688318,145.0425316
Ivanhoe,cafe,Laurent,-37.7685994,145.0424133
Ivanhoe,cafe,Laurent,-37.7686373,145.0423582
Ivanhoe,cafe,Pinkie,-37.7681835,145.0440114
Ivanhoe,cafe,Tre Fontane,-37.7672369,145.0445173
Ivanhoe,gym,Core Principles Personal And Group Training,-37.7716817,145.0458851
Alphington,cafe,Kissaten,-37.782721,145.0218161
Alphington,cafe,The Alphington Foodstore,-37.7780786,145.0307394
Alphington,cafe,Becca Foodstore,-37.775467,145.0259122
Alphington,cafe,Unnamed cafe,-37.7711893,145.0267211
Alphington,gym,Melbourne Gym Sports,-37.7669651,145.0287004
Fairfield,supermarket,Oasis,-37.777905,145.0181124
Fairfield,supermarket,IGA,-37.7762599,145.0183324
Fairfield,supermarket,Cardamones Food and Wine,-37.7765628,145.0187591
Fairfield,cafe,Fairfield Boathouse,-37.7851623,145.0136098
Fairfield,cafe,Cafe Pantheon,-37.7780476,145.0181099
Fairfield,cafe,Stathmos,-37.7780364,145.0184531
Fairfield,cafe,Nikos,-37.7787992,145.0174597
Fairfield,cafe,Bean Counter Cafe,-37.7795803,145.0167123
Fairfield,cafe,15 lbs Cafe,-37.7795467,145.0171851
Fairfield,cafe,The Tea Rose,-37.7795393,145.0172709
Fairfield,cafe,Hoppa & Joe,-37.7829876,145.0187413
Fairfield,cafe,Harvest,-37.7775279,145.0181682
Fairfield,cafe,Brazen Brownies and Dessert Bar,-37.7766626,145.0187082
Fairfield,cafe,Three Locals,-37.7772524,145.0186159
Fairfield,cafe,Mr Wednesday,-37.7788879,145.0242235
Fairfield,cafe,Meet Me @ Ed’s,-37.7679078,145.0231318
Fairfield,cafe,Unnamed cafe,-37.7682203,145.0260356
Fairfield,cafe,Outer Circle Social Club,-37.7677233,145.0214309
