suburb,category,name,lat,lon
The Basin,cafe,1 in 20 Café,-37.8556385,145.3157854
Carlton North,library,1 John Street Little Library,-37.7769637,144.9758697
Ferntree Gully,cafe,121 Station Cafe,-37.8817425,145.2942688
Fairfield,cafe,15 lbs Cafe,-37.7795467,145.0171851
Travancore,cafe,1565 Cafe & Gelataria,-37.794664,144.9300449
Geelong West,cafe,17by4,-38.147658,144.357476
South Melbourne,cafe,18 Pence Lane,-37.824583,144.9452578
Seaford,cafe,18-EightyEight,-38.1033177,145.1264015
South Yarra,cafe,181 Domain,-37.8342155,144.9820937
Carlton North,cafe,1864 Café,-37.7838156,144.9609303
Geelong,cafe,2 Chefs,-38.1460899,144.3615972
Ringwood North,cafe,23 Cafe Restaurant Bar.,-37.7946099,145.2355304
Port Melbourne,cafe,24 Atoms,-37.8253647,144.921733
Reservoir,gym,24/7 Xercise Gym,-37.7159676,145.0039848
Reservoir,cafe,3 Cheers Cafe,-37.7161604,145.0063124
Bonbeach,gym,3 Steps Gym,-38.0756356,145.1231993
Melbourne,cafe,30 Block Place,-37.8152596,144.964372
South Melbourne,cafe,365,-37.821841,144.9449468
Parkdale,cafe,4 Cousins Coffee Department,-37.9970995,145.0843416
Parkdale,supermarket,4 Cousins,-37.997159,145.0844063
Mentone,cafe,4 Sista's Cafe,-37.9820421,145.0645776
Heidelberg,cafe,4ever sisters,-37.7429319,145.0646385
Manifold Heights,cafe,63 Degrees,-38.1397712,144.3487824
Docklands,cafe,6six 5fifty 5five,-37.8064205,144.9449095
Richmond,cafe,7 Grams,-37.8282242,144.997652
Manifold Heights,cafe,7 Origins,-38.142005,144.3482804
Geelong,cafe,7 Origins,-38.14788,144.3635463
Richmond,cafe,8 Layers,-37.8113055,145.0072417
Diamond Creek,cafe,8.8oz,-37.6748732,145.159641
Bundoora,cafe,8th Nerve Cafe,-37.6962575,145.0584323
Coburg,cafe,8th Nerve Cafe,-37.7335657,144.9588845
Geelong West,cafe,9 grams,-38.1463384,144.3587758
Newtown,cafe,9 grams,-38.1572389,144.3449146
Mount Duneed,cafe,9 Grams,-38.2254194,144.3277079
Coburg,cafe,9 meals cafe,-37.743215,144.9658649
Preston,cafe,9 Tails,-37.7421303,145.0034841
St Kilda,cafe,95 Espresso Bar,-37.8680415,144.9790903
Caulfield,gym,9Round,-37.8788325,145.0129128
Bentleigh East,gym,9Round,-37.9209414,145.0564651
Southbank,cafe,@Rice,-37.835496,144.975606
South Geelong,cafe,[untitled],-38.1564528,144.3596279
Melbourne,cafe,A Kiss Xpresso,-37.8152071,144.9722311
Brunswick East,cafe,A Minor Place,-37.7614923,144.9696521
Thornbury,cafe,A Simple Sandwich,-37.7493553,145.0019682
Geelong West,cafe,A Spot For Joe,-38.1494513,144.3579221
Richmond,cafe,A Thousand Blessings,-37.8160197,145.0018998
Melbourne,cafe,A Treat Of France,-37.8270995,144.9590528
Oakleigh South,cafe,A.1.Nibbles Sandwiches,-37.9099934,145.1039463
Brunswick East,cafe,A1 Lebanese Bakery,-37.7620103,144.962841
Dandenong,cafe,AB Bakery Dandenong,-37.9890925,145.2140879
Richmond,cafe,Abbotsford Pantry,-37.8084889,144.9999844
Glen Waverley,cafe,ABC Cafe,-37.8815893,145.1631651
Balwyn North,supermarket,ABC Supermarket,-37.7928056,145.0710362
Heathmont,supermarket,ABC Supermarket,-37.8266695,145.2561383
Preston,cafe,Ablas Patisserie,-37.7429579,145.0033794
Melbourne,gym,Absolute MMA CBD,-37.8123789,144.9711275
Fitzroy,gym,Absolute MMA Collingwood,-37.8038711,144.990661
St Kilda,gym,Absolute MMA St Kilda,-37.8636227,144.9829621
Melbourne,cafe,ACCA coffee cart,-37.8267414,144.9666877
Coburg,cafe,Achillion Cakes,-37.7433735,144.9663714
Fitzroy,cafe,Acoffee,-37.7982359,144.9856593
Blackburn South,cafe,Acre Eatery,-37.8489503,145.134568
Fawkner,cafe,Acropol,-37.7175464,144.9820679
Fitzroy,cafe,ACspresSO Cafe,-37.8099748,144.9922714
Fitzroy,gym,Action School of Yoga,-37.80068,144.983757
Travancore,gym,Active Bodies World,-37.7663334,144.9493887
Carlton North,cafe,Acustico,-37.7739337,144.9591941
Mount Eliza,cafe,AD HOC,-38.1832548,145.0893662
South Melbourne,cafe,Ada Grace,-37.8326207,144.9590781
Bentleigh East,cafe,Adam’s Deli,-37.9208082,145.0582127
Carlton,cafe,Addict,-37.7989725,144.9832189
Dandenong,cafe,Addictions,-37.9872937,145.2128755
Footscray,cafe,Addis cafe and roastery,-37.80354,144.898589
Kew East,cafe,Adeney Milkbar Cafe,-37.8028866,145.0490731
Tullamarine,cafe,Adina Corner Cafe,-37.7111067,144.8770082
Footscray,cafe,Advieh,-37.8094133,144.8901692
Sunshine,supermarket,African Groceries,-37.7878333,144.8309159
Dandenong,supermarket,African Products,-37.9862461,145.2152154
South Melbourne,cafe,Aga the French patisserie,-37.8323197,144.9566948
Montmorency,cafe,Agnes & Alban,-37.7314255,145.1353538
Kingsbury,supermarket,Agora IGA Xpress,-37.7206367,145.0487718
Kingsbury,cafe,Agoraphobic Cafe,-37.7193667,145.0455587
Melbourne,cafe,Airflow Coffee Co,-37.8098639,144.956785
Heidelberg,cafe,Aisle Seventeen,-37.7587648,145.0688624
Princes Hill,gym,AKA Studio Yoga,-37.767077,144.9804137
Coburg,cafe,Al Alamy,-37.7418729,144.9650469
Coburg,cafe,Al Nada Sweets,-37.7508631,144.9651286
St Kilda,cafe,Al Naturale,-37.862565,144.9742874
South Melbourne,cafe,Albert Gourmet Deli,-37.833654,144.971429
South Melbourne,cafe,Albert Park Deli,-37.8414375,144.9541058
St Kilda,gym,Albert Park Fitness,-37.8500013,144.96952
South Melbourne,library,Albert Park Library,-37.8413526,144.956341
Princes Hill,cafe,Albert Street Cafe,-37.7686382,144.9590671
Brunswick West,supermarket,Albion Budget Supermarket,-37.7585731,144.945087
Craigieburn,supermarket,Aldi,-37.5946365,144.9143905
Meadow Heights,supermarket,Aldi,-37.6379203,144.9328875
Mill Park,supermarket,ALDI,-37.650551,145.0691768
Lalor,supermarket,ALDI,-37.6550131,145.0163052
Broadmeadows,supermarket,Aldi,-37.6783544,144.9195292
Melton West,supermarket,Aldi,-37.6868586,144.5604697
Gladstone Park,supermarket,ALDI,-37.6875338,144.8843357
Taylors Lakes,supermarket,ALDI,-37.699312,144.7785142
Bundoora,supermarket,ALDI,-37.6998024,145.058831
Greensborough,supermarket,ALDI,-37.7028795,145.1033101
Eltham North,supermarket,Aldi,-37.7128407,145.1501999
Tullamarine,supermarket,Aldi,-37.7151535,144.8842921
Hadfield,supermarket,ALDI,-37.723371,144.9623695
Kingsbury,supermarket,ALDI,-37.724802,145.0289822
Keilor Downs,supermarket,ALDI,-37.7263093,144.8066275
Montmorency,supermarket,ALDI,-37.7279736,145.1110688
Burnside Heights,supermarket,ALDI,-37.7315698,144.7427972
Preston,supermarket,ALDI,-37.7399085,145.001834
Bellfield,supermarket,ALDI,-37.7487656,145.0407238
Avondale Heights,supermarket,ALDI,-37.7497051,144.8605537
Albanvale,supermarket,Aldi,-37.75006,144.7743439
Thornbury,supermarket,ALDI,-37.7520867,145.0028302
Heidelberg,supermarket,Aldi,-37.7552816,145.0688142
Lilydale,supermarket,ALDI,-37.7609226,145.3491933
Ascot Vale,supermarket,ALDI,-37.7653328,144.9230314
Northcote,supermarket,ALDI,-37.768958,145.000045
Carlton North,supermarket,ALDI,-37.7709122,144.9616256
Doncaster,supermarket,ALDI,-37.7731793,145.1118816
Sunshine,supermarket,ALDI,-37.7828586,144.8341988
Maribyrnong,supermarket,ALDI,-37.7842775,144.8922627
Balwyn North,supermarket,ALDI,-37.7912353,145.0947384
West Footscray,supermarket,ALDI,-37.7930599,144.8607906
Croydon,supermarket,ALDI,-37.7934467,145.2785468
Fitzroy,supermarket,ALDI,-37.7987035,144.9836527
Melbourne,supermarket,ALDI,-37.8074444,144.9621938
Docklands,supermarket,ALDI,-37.8078975,144.9486199
Richmond,supermarket,ALDI,-37.8093845,144.9956596
Blackburn,supermarket,ALDI,-37.8112786,145.1520958
Ringwood,supermarket,ALDI,-37.815856,145.2231415
Brooklyn,supermarket,ALDI,-37.8284837,144.8476986
Mont Albert,supermarket,ALDI,-37.8293579,145.1208749
South Melbourne,supermarket,ALDI,-37.829949,144.9573832
Hawthorn East,supermarket,Aldi,-37.8305497,145.058844
Tarneit,supermarket,Aldi,-37.8350609,144.652032
Bayswater,supermarket,Aldi,-37.8430635,145.2661744
Altona North,supermarket,Aldi,-37.8447747,144.8454614
South Yarra,supermarket,Aldi,-37.8458636,144.9935728
Blackburn South,supermarket,ALDI,-37.853724,145.1510417
Vermont South,supermarket,Aldi,-37.8555383,145.1822714
Prahran,supermarket,Aldi,-37.8650285,144.9877554
Laverton,supermarket,Aldi,-37.8718502,144.7751035
Glen Waverley,supermarket,ALDI,-37.8750268,145.164852
Murrumbeena,supermarket,ALDI,-37.8846726,145.0588846
Hughesdale,supermarket,ALDI,-37.8863767,145.0839366
Mambourin,supermarket,ALDI,-37.8873902,144.6071938
Ferntree Gully,supermarket,ALDI,-37.8882093,145.2889133
Point Cook,supermarket,ALDI,-37.8952997,144.7522522
Scoresby,supermarket,ALDI,-37.9012273,145.2329917
Werribee,supermarket,Aldi,-37.9051618,144.6577989
McKinnon,supermarket,Aldi,-37.9175958,145.0340515
Rowville,supermarket,ALDI,-37.9287015,145.2513265
Noble Park North,supermarket,ALDI,-37.9366727,145.1915257
Springvale,supermarket,ALDI,-37.941289,145.1683577
Highett,supermarket,Aldi,-37.9558454,145.0334368
Cheltenham,supermarket,ALDI,-37.9590509,145.0548965
Springvale South,supermarket,ALDI,-37.9615752,145.1431426
Heatherton,supermarket,ALDI,-37.9706192,145.0907731
Cheltenham,supermarket,ALDI,-37.9752484,145.0677058
Endeavour Hills,supermarket,ALDI,-37.9772167,145.2586075
Dandenong,supermarket,ALDI,-37.9833906,145.2161115
Dandenong,supermarket,Aldi,-37.9859544,145.2167401
Parkdale,supermarket,Aldi,-38.0060286,145.0852374
Narre Warren,supermarket,ALDI,-38.017448,145.3010818
Narre Warren South,supermarket,ALDI,-38.0677336,145.3005853
Bonbeach,supermarket,ALDI,-38.076667,145.1235678
Clyde North,supermarket,Aldi,-38.0942353,145.3333701
Bell Park,supermarket,ALDI,-38.0967275,144.3350659
Cranbourne East,supermarket,ALDI,-38.1000051,145.2933188
Frankston North,supermarket,ALDI,-38.1102556,145.1610991
Cranbourne,supermarket,ALDI,-38.1115747,145.2842262
Frankston,supermarket,ALDI,-38.1397884,145.1260897
Manifold Heights,supermarket,ALDI,-38.1398635,144.3377442
Newcomb,supermarket,ALDI,-38.1697376,144.3922925
Belmont,supermarket,ALDI,-38.1741305,144.3443203
Grovedale,supermarket,ALDI,-38.193233,144.3435317
Grovedale,supermarket,ALDI,-38.1961357,144.318837
Mornington,supermarket,ALDI,-38.2230476,145.0403197
Somerville,supermarket,ALDI,-38.2249896,145.1774728
Kingsville,cafe,Alfa Bakehouse,-37.8164954,144.8901059
Melbourne,cafe,Alimentari,-37.7997308,144.9780654
Clarinda,supermarket,Alishaan India,-37.9284428,145.119416
Greensborough,gym,Alive Pilates Studio,-37.7032652,145.1052701
Chadstone,cafe,Aliza's place Cafe,-37.8750608,145.1003278
Carlton,cafe,All Day Tre,-37.7905439,144.9714987
South Yarra,cafe,All Good,-37.8520028,144.9806355
Deepdene,cafe,Alleycat Cafe,-37.8247497,145.0811808
Seddon,supermarket,Alligator Brand Pasta,-37.8213474,144.8962221
Fitzroy,cafe,Allpress Roastery,-37.8065212,144.9891319
Richmond,cafe,Almost French Patisserie,-37.8254052,144.9943865
Surrey Hills,gym,Alta Fitness,-37.8210105,145.1051649
Deepdene,gym,Alta Personal Training,-37.8238896,145.0811809
Melbourne,cafe,Altius Coffee Brewers,-37.819714,144.9564536
Seaholme,library,Altona Library,-37.869017,144.8292555
Laverton,library,Altona Meadows Library,-37.873582,144.7748212
Altona North,library,Altona North Community Library,-37.8360447,144.8468987
Dandenong,cafe,Amalia Euro Cheese,-37.9826231,145.2028103
Oakleigh South,cafe,Ambrosia Cafe,-37.9103146,145.1034029
Oakleigh East,cafe,Ambrosiary,-37.9005231,145.0917191
Melbourne,cafe,Amicus Espresso,-37.8022481,144.9601666
Mont Albert North,cafe,Amity Cafe,-37.803656,145.1024041
Thornbury,cafe,Ampersand Coffee and Food,-37.754549,145.0011357
Richmond,cafe,Amsterdam Street Cafe,-37.8309703,144.997477
Geelong West,cafe,Analogue Academy,-38.1488359,144.3563533
Belgrave,gym,Ananda Hot Yoga,-37.908734,145.3550984
Docklands,cafe,Anchor Eatery,-37.8217715,144.9363723
North Geelong,cafe,Anchors Rest Cafe,-38.1071511,144.3623725
Melbourne,cafe,Anda,-37.809638,144.9720241
Fawkner,supermarket,Anderson Road Fruit Market,-37.695906,144.967925
Watsonia North,supermarket,Andres SUPA IGA,-37.709047,145.0825705
Burwood,supermarket,Andrew Street Grocer,-37.8572274,145.1237031
Ivanhoe East,cafe,Aniseed Cafe,-37.763843,145.0541544
Surrey Hills,cafe,Anne's Pantry,-37.8236413,145.0978958
Pascoe Vale South,cafe,Anthropology Specialty Coffee and Concept Store,-37.7315429,144.9377482
South Kingsville,cafe,Antpasti Deli Cafe,-37.8171865,144.8818864
Meadow Heights,gym,Anytime Fitness,-37.6391528,144.9330949
Diamond Creek,gym,Anytime Fitness,-37.6739815,145.1599857
Thomastown,gym,Anytime Fitness,-37.6781827,145.0144135
Taylors Lakes,gym,Anytime Fitness,-37.6972067,144.7731441
Greensborough,gym,Anytime Fitness,-37.7035842,145.1036437
Reservoir,gym,Anytime Fitness,-37.7170477,145.0086332
Weir Views,gym,Anytime Fitness,-37.7212109,144.5713872
Rockbank,gym,Anytime Fitness,-37.7219895,144.6705117
Keilor Downs,gym,Anytime Fitness,-37.7274813,144.8075878
Burnside Heights,gym,Anytime Fitness,-37.7342276,144.7414847
