Year,Year ending,Police Service Area,Local Government Area,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"PSA Rate per 100,000 population","LGA Rate per 100,000 population"
2025,March,Ballarat,Ballarat,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,8,6.1,6.5
2025,March,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,237,179.8,191.4
2025,March,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,173,131.2,139.7
2025,March,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",98,74.3,79.1
2025,March,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,355,269.2,286.7
2025,March,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,259,196.4,209.2
2025,March,Ballarat,Ballarat,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,341,258.6,275.4
2025,March,Ballarat,Ballarat,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,7,5.3,5.7
2025,March,Ballarat,Ballarat,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,9,6.8,7.3
2025,March,Ballarat,Ballarat,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,44,33.4,35.5
2025,March,Ballarat,Ballarat,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2,1.5,1.6
2025,March,Ballarat,Ballarat,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,7,5.3,5.7
2025,March,Ballarat,Ballarat,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,2,1.5,1.6
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,38,28.8,30.7
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,25,19.0,20.2
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,43,32.6,34.7
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,16,12.1,12.9
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,87,66.0,70.3
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,58,44.0,46.8
2025,March,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,129,97.8,104.2
2025,March,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,23,17.4,18.6
