SA2_CODE_2021,SA2_NAME_2021,,,,,,,,,,,,,
101021007,Braidwood,,,,,,,,,,,,,
101021008,Karabar,,,,,,,,,,,,,
101021009,Queanbeyan,,,,,,,,,,,,,
101021010,Queanbeyan - East,,,,,,,,,,,,,
101021012,Queanbeyan West - Jerrabomberra,,,,,,,,,,,,,
101021610,Googong,,,,,,,,,,,,,
101021611,Queanbeyan Surrounds,,,,,,,,,,,,,
101031013,Bombala,,,,,,,,,,,,,
101031014,Cooma,,,,,,,,,,,,,
101031015,Cooma Surrounds,,,,,,,,,,,,,
101031016,Jindabyne - Berridale,,,,,,,,,,,,,
101041017,Batemans Bay,,,,,,,,,,,,,
101041018,Batemans Bay - South,,,,,,,,,,,,,
101041019,Bega - Tathra,,,,,,,,,,,,,
101041020,Bega-Eden Hinterland,,,,,,,,,,,,,
101041021,Broulee - Tomakin,,,,,,,,,,,,,
101041022,Deua - Wadbilliga,,,,,,,,,,,,,
101041023,Eden,,,,,,,,,,,,,
101041024,Eurobodalla Hinterland,,,,,,,,,,,,,
101041025,Merimbula - Tura Beach,,,,,,,,,,,,,
101041026,Moruya - Tuross Head,,,,,,,,,,,,,
101041027,Narooma - Bermagui,,,,,,,,,,,,,
101051539,Goulburn,,,,,,,,,,,,,
101051540,Goulburn Surrounds,,,,,,,,,,,,,
101051540,Goulburn Surrounds,,,,,,,,,,,,,
101061541,Yass,,,,,,,,,,,,,
101061542,Yass Surrounds,,,,,,,,,,,,,
101061542,Yass Surrounds,,,,,,,,,,,,,
101061543,Young,,,,,,,,,,,,,
101061544,Young Surrounds,,,,,,,,,,,,,
102011028,Avoca Beach - Copacabana,,,,,,,,,,,,,
102011029,Box Head - MacMasters Beach,,,,,,,,,,,,,
102011030,Calga - Kulnura,,,,,,,,,,,,,
102011031,Erina - Green Point,,,,,,,,,,,,,
102011032,Gosford - Springfield,,,,,,,,,,,,,
102011033,Kariong,,,,,,,,,,,,,
102011034,Kincumber - Picketts Valley,,,,,,,,,,,,,
102011035,Narara,,,,,,,,,,,,,
102011036,Niagara Park - Lisarow,,,,,,,,,,,,,
102011037,Point Clare - Koolewong,,,,,,,,,,,,,
102011038,Saratoga - Davistown,,,,,,,,,,,,,
102011039,Terrigal - North Avoca,,,,,,,,,,,,,
102011040,Umina - Booker Bay - Patonga,,,,,,,,,,,,,
102011041,Wamberal - Forresters Beach,,,,,,,,,,,,,
102011042,Woy Woy - Blackwall,,,,,,,,,,,,,
102011043,Wyoming,,,,,,,,,,,,,
102021044,Bateau Bay - Killarney Vale,,,,,,,,,,,,,
102021045,Blue Haven - San Remo,,,,,,,,,,,,,
102021046,Budgewoi - Buff Point - Halekulani,,,,,,,,,,,,,
102021047,Chittaway Bay - Tumbi Umbi,,,,,,,,,,,,,
102021048,Gorokan - Kanwal - Charmhaven,,,,,,,,,,,,,
102021049,Jilliby - Yarramalong,,,,,,,,,,,,,
102021050,Lake Munmorah - Mannering Park,,,,,,,,,,,,,
102021051,Ourimbah - Fountaindale,,,,,,,,,,,,,
102021052,Summerland Point - Gwandalan,,,,,,,,,,,,,
102021053,The Entrance,,,,,,,,,,,,,
102021054,Toukley - Norah Head,,,,,,,,,,,,,
102021055,Tuggerah - Kangy Angy,,,,,,,,,,,,,
102021056,Warnervale - Wadalba,,,,,,,,,,,,,
102021057,Wyong,,,,,,,,,,,,,
103011059,Bathurst - East,,,,,,,,,,,,,
103011060,Bathurst Surrounds,,,,,,,,,,,,,
103011060,Bathurst Surrounds,,,,,,,,,,,,,
103011061,Oberon,,,,,,,,,,,,,
103011612,Bathurst - South,,,,,,,,,,,,,
103011613,Bathurst - West,,,,,,,,,,,,,
103021062,Condobolin,,,,,,,,,,,,,
103021062,Condobolin,,,,,,,,,,,,,
103021063,Cowra,,,,,,,,,,,,,
103021064,Cowra Surrounds,,,,,,,,,,,,,
103021065,Forbes,,,,,,,,,,,,,
103021066,Grenfell,,,,,,,,,,,,,
103021067,Parkes (NSW),,,,,,,,,,,,,
103021068,Parkes Surrounds,,,,,,,,,,,,,
103021069,West Wyalong,,,,,,,,,,,,,
103031070,Lithgow,,,,,,,,,,,,,
103031071,Lithgow Surrounds,,,,,,,,,,,,,
103031071,Lithgow Surrounds,,,,,,,,,,,,,
103031072,Mudgee,,,,,,,,,,,,,
103031073,Mudgee Surrounds - East,,,,,,,,,,,,,
103031073,Mudgee Surrounds - East,,,,,,,,,,,,,
103031074,Mudgee Surrounds - West,,,,,,,,,,,,,
103031074,Mudgee Surrounds - West,,,,,,,,,,,,,
103031075,Wollangambe - Wollemi,,,,,,,,,,,,,
103031075,Wollangambe - Wollemi,,,,,,,,,,,,,
103041076,Blayney,,,,,,,,,,,,,
103041077,Orange,,,,,,,,,,,,,
103041078,Orange - North,,,,,,,,,,,,,
103041079,Orange Surrounds,,,,,,,,,,,,,
104011080,Grafton,,,,,,,,,,,,,
104011081,Grafton Surrounds,,,,,,,,,,,,,
104011082,Maclean - Yamba - Iluka,,,,,,,,,,,,,
104021083,Bellingen,,,,,,,,,,,,,
104021084,Coffs Harbour - North,,,,,,,,,,,,,
104021085,Coffs Harbour - South,,,,,,,,,,,,,
104021086,Coramba - Nana Glen - Bucca,,,,,,,,,,,,,
104021087,Dorrigo,,,,,,,,,,,,,
104021088,Korora - Emerald Beach,,,,,,,,,,,,,
104021089,Sawtell - Boambee,,,,,,,,,,,,,
104021090,Urunga,,,,,,,,,,,,,
104021091,Woolgoolga - Arrawarra,,,,,,,,,,,,,
105011092,Bourke - Brewarrina,,,,,,,,,,,,,
105011093,Cobar,,,,,,,,,,,,,
105011094,Coonamble,,,,,,,,,,,,,
105011095,Nyngan - Warren,,,,,,,,,,,,,
